Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAMC,Altisource Asset Management Corp Com,$29.9799,0.1099,0.368%,53280428.00,United States,,8632,Finance,Investment Managers
AAU,Almaden Minerals Ltd. Common Shares,$0.2369,-0.0035,-1.456%,32507752.00,Canada,2015,261651,,
ACU,Acme United Corporation. Common Stock,$21.75,-0.815,-3.612%,76880356.00,United States,1988,13048,Consumer Discretionary,Home Furnishings
ADRA,Adara Acquisition Corp. Class A Common Stock,$10.19,-0.24,-2.301%,146481250.00,United States,2021,41172,Industrials,Consumer Electronics/Appliances
ADRT,Ault Disruptive Technologies Corporation Common Stock,$10.31,-0.04,-0.386%,148206250.00,,2022,250001,Industrials,Consumer Electronics/Appliances
AE,Adams Resources & Energy Inc. Common Stock,$50.05,0.75,1.521%,122742820.00,United States,1980,18297,Energy,Oilfield Services/Equipment
AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock,$5.57,0.04,0.723%,282687403.00,United States,,71488,Finance,Finance/Investors Services
AGE,AgeX Therapeutics Inc. Common Stock,$0.7229,0.0228,3.257%,27431996.00,,2018,6702,Health Care,Biotechnology: Pharmaceutical Preparations
AIM,AIM ImmunoTech Inc. Common Stock,$0.66,0.0299,4.745%,26195408.00,United States,1997,237219,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$13.91,-0.2307,-1.631%,43330499.00,United States,2014,1031,Finance,Investment Managers
AIRI,Air Industries Group Common Stock,$5.38,0.13,2.476%,17473901.00,United States,,4010,Industrials,Military/Government/Technical
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,$0.37,0.0103,2.863%,9395473.00,China,,46483,Consumer Discretionary,Service to the Health Industry
AMPE,Ampio Pharmaceuticals Inc.,$0.2748,-0.0062,-2.206%,4145576.00,United States,2022,128414,Health Care,Biotechnology: Pharmaceutical Preparations
AMS,American Shared Hospital Services Common Stock,$3.16,-0.03,-0.94%,19443480.00,United States,1988,16122,Health Care,Medical Specialities
APT,Alpha Pro Tech Ltd. Common Stock,$4.15,0.00,0.00%,51937067.00,Canada,2000,27419,,
AREN,The Arena Group Holdings Inc. Common Stock,$7.70,-0.07,-0.901%,140486808.00,,2022,58142,Technology,Interactive Media
